管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二Ｏ一Ｏ至一一年度預算,8260,
三月三十一日及二Ｏ一一年三月三十一日預算設有的95個非首長級職位。,3110,
綱領 (1)行政長官辦公室,62.4,65.0,66.3,64.6
(2)行政會議,18.3,19.5,18.2,18.0
    經常開支 000運作開支,80747,84507,84507,82591,
    ——————— ——————— ——————— ——————— 經常開支總額,80747,84507,84507,82591,
    ——————— ——————— ——————— ——————— 經營帳目總額,80747,84507,84507,82591,
    ——————— ——————— ——————— ——————— 開支總額,80747,84507,84507,82591,
－薪金,44041,45325,44633,43940
－津貼,2056,2325,2380,2380
－工作相關津貼,14,11,6,11
－強制性公積金供款,69,72,86,91
－公務員公積金供款,72,149,446,578
－就特別委任而支付的酬金,8504,10845,10001,8913
－一般部門開支,14635,13558,15978,15854
－行政會議非官守成員酬金,11356,12222,10977,10824
