管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二Ｏ一二至一三年度預算,9310,
年三月三十一日及二Ｏ一三年三月三十一日預算設有的96個非首長級職位。,3400,
綱領 (1)行政長官辦公室,64.4,67.1,71.8,74.2
(2)行政會議,18.0,18.1,18.4,18.9
    經常開支 000運作開支,82420,85217,90223,93070,
    ——————— ——————— ——————— ——————— 經常開支總額,82420,85217,90223,93070,
    ——————— ——————— ——————— ——————— 經營帳目總額,82420,85217,90223,93070,
    ——————— ——————— ——————— ——————— 開支總額,82420,85217,90223,93070,
－薪金,43504,44052,46469,47126
－津貼,2436,2510,2897,2843
－工作相關津貼,6,10,4,8
－強制性公積金供款,79,85,111,110
－公務員公積金供款,621,661,803,905
－就特別委任而支付的酬金,8886,9075,9601,12712
－一般部門開支,16065,18000,19684,18313
－行政會議非官守成員酬金,10823,10824,10654,11053
