管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二ＯＯ八至Ｏ九年度預算,7910,
三月三十一日及二ＯＯ九年三月三十一日預算設有的92個非首長級職位。,2780,
綱領 (1)行政長官辦公室,53.2,57.5,59.9,59.7
(2)行政會議,16.6,17.1,18.1,19.4
    經常開支 000運作開支,69841,74629,78015,79145
    ——————— ——————— ——————— ———————經常開支總額,69841,74629,78015,79145
    ——————— ——————— ——————— ———————經營帳總額,69841,74629,78015,79145
    ——————— ——————— ——————— ———————開支總額,69841,74629,78015,79145
－薪金,36858,39455,40621,41393
－津貼,2053,2114,2283,2418
－與工作有關連津貼,13,4,13
與員工有關連的開支 －強制性公積金供款,36,19,41,47
－公務員公積金供款,51,
部門開支 －就特別委任而支付的酬金,7486,9220,10384,8876
－一般部門開支,13168,13421,13421,13953
其他費用 －行政會議非官守成員酬金,10240,10336,11261,12445
