管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二ＯＯ九至一Ｏ年度預算,8450,
年三月三十一日預算設有的 92 個非首長級職位，增至二Ｏ一Ｏ年三月三十一日的95個，增幅為3個。,3160,
綱領 (1)行政長官辦公室,59.6,59.7,62.5,65.0
(2)行政會議,17.8,19.4,18.9,19.5
    經常開支 000運作開支,77429,79145,81406,84507
    ——————— ——————— ——————— ———————經常開支總額,77429,79145,81406,84507
    ——————— ——————— ——————— ———————經營帳總額,77429,79145,81406,84507
    ——————— ——————— ——————— ———————開支總額,77429,79145,81406,84507
－薪金,40515,41393,44102,45325
－津貼,2161,2418,2171,2325
－工作相關津貼,3,13,12,11
與員工有關連的開支 －強制性公積金供款,43,47,69,72
－公務員公積金供款,48149
部門開支 －就特別委任而支付的酬金,10338,8876,8789,10845
－一般部門開支,13199,13953,14475,13558
其他費用 －行政會議非官守成員酬金,11170,12445,11740,12222
