管制人員：地政總署署長會交代本總目下的開支。 二Ｏ一Ｏ至一一年度預算,17.934,
三月三十一日預算設有的 3 820 個非首長級職位，增至二Ｏ一一年三月三十一日的3836個，增幅為16個。,12.259,
土地批售 小型屋宇(處理宗數),2300,2491,2709,2300
收到申請書後 3 個星期內發出 覆函(%),100,99,96,100
數額)建議書／否決通知書／表明原則上同意覆函(%),100,94,99,100
12 個星期內發出法律文件供 簽立(%),100,96,99,100
起計 4 個星期內按照特惠率作出補償建議(%),100,100,100,100
4 個星期內備妥補償金支票待領(新界農地個案)(%),100,100,100,100
土地復歸政府後 3 個星期內作出補償建議或告知可提出申索(%),100,100,100,100
土地批售 批售土地(公頃),122.46187.78,
賣地計劃 出售土地(拍賣及招標)(公頃),2.53,4.64,
單位數目,1,1488,
私人協約方式批地 批出土地(公頃),118.79177.23147.00,
單位數目,6340,1480,6700,
個案數目,221120,150,
單位數目,4326,867,11800,
土地徵用 工務計劃工程項目(公頃),12.07,7.85,16.40,
鐵路發展計劃(公頃),0.00,0.04,50.59,
市區重建工程項目(物業權益數目),235,26634,
鄉郊規劃及改善策略／鄉村改善(公頃),0.52,0.00,1.19,
收地／清理土地費用總額(百萬元),870.8415.2,1392.0,
土地管理 執行契約條款個案數目,854891,890,
重建臨時住宅搭建物數目,66,48,55,
已清理及派員看守的政府土地數目,5477,5486,5600,
未撥用及未批租政府土地上的斜坡保養 須勘測的人造斜坡數目,10200,11350,10600,
須維修或改善的人造斜坡數目,6350,6750,6500,
臨時使用政府土地 臨時撥地予政府部門(公頃),641.5753.9900.0,
招標承投的短期租約(公頃),57.70,79.17,70.00,
直接批出的短期租約(公頃),11.2,32.3,40.0,
物業管理 所管理的物業／單位數目,252251,250,
為政府物業發出的維修單數目,110118,105,
出售政府物業數目,10,8,10,
寮屋管制及清拆 已清拆的違例搭建物,187194,195,
已視察的已登記搭建物,190305,199902,199800,
已申請租住公共房屋的寮屋居民佔用的已登記搭建物的清拆前凍結登記行動宗數,678505,490,
因既定的寮屋清拆計劃或緊急清拆計劃而清拆的搭建物,1413,1211,2800,
接獲要求後 12 個星期內劃定土地界線(%),100,100,99,100
接獲要求後 1 個工作天內提供地圖及大地測量資料(%),100,100,100,100
內按最新資料修訂大比例 地圖(%),100,100,100,100
大地測量 定出準確的平面及高程控制點數目,912976,900,
設置及維修測量標石及標誌數目,3897,4163,4200,
地形測量及製圖 不斷修訂、測量及查核地區(公頃),79830,78459,75000,
製作地圖及圖表數目,8347,8377,8100,
提供攝製服務(份數),461899,452065,440000,
地籍測量 測定或劃定地段數目,2136,2427,2400,
製備地籍圖數目,34018,37804,39000,
航空測量 為量度及記錄用途拍攝的照片數目,14648,9277,9500,
進行攝影測量總面積(公頃),31123,30840,31000,
《土地測量條例》 審核地段分割圖則總數,1550,1932,1900,
時間)(%),100,100,100,100
公共契約－在 13 個星期內 批核(%),100,100,100,100
－非住宅樓宇,6,8,6,
－住宅樓宇,17,24,20,
預售未建成的住宅樓宇單位(單位數目),10317,11671,9000,
已批核的公共契約 －非住宅樓宇,1,2,2,
－住宅樓宇,38,47,42,
綱領 (1)土地行政,1240.6,1310.2,1262.7,1319.8
(2)測量及繪圖,401.9,424.6,411.0,418.1
(3)法律諮詢,49.3,59.1,53.3,55.5
    經常開支 000運作開支,1687952,1786494,1723300,1783750,
003  可收回的薪金及津貼 (一般),30328
減去發還款項,30328,
221  政府土地清拆工作－特惠 津貼,1019,4400928,7295,
    ——————— ——————— ——————— ——————— 經常開支總額,1688971,1790894,1724228,1791045,
    非經常開支 一般非經常開支,697,1134,1134,
    ——————— ——————— ——————— ——————— 非經常開支總額,697,1134,1134,
    ——————— ——————— ——————— ——————— 經營帳目總額,1689668,1792028,1725362,1791045,
撥款),2155,1860,1684,2310,
  機器、設備及工程開支 總額,2155,1860,1684,2310,
    ——————— ——————— ——————— ——————— 非經營帳目總額,2155,1860,1684,2310,
    ——————— ——————— ——————— ——————— 開支總額,1691823,1793888,1727046,1793355,
－薪金,1345843,1408294,1366434,1388636
－津貼,15285,15735,14476,15588
－工作相關津貼,2079,2230,2297,2324
－強制性公積金供款,1204,2853,2739,3662
－公務員公積金供款,466,1175,820,902
－僱用服務及專業費用,31214,58010,40469,54113
－合約維修工作,163844,147422,157744,163825
－一般部門開支,128017,150760,138306,154685
－ 財政司司長法團－暫記帳 調整,15,15,15,
