管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二Ｏ一三至一四年度預算,9450,
三月三十一日預算設有的 96 個非首長級職位，增至二Ｏ一四年三月三十一日的 98 個，增幅為2個。,3730,
綱領 (1)行政長官辦公室,71.8,74.2,72.3,72.7
(2)行政會議,18.4,18.9,20.1,21.8
    經常開支 000運作開支,90155,93070,92372,94481,
    ———————  ———————  ———————  ———————  經常開支總額,90155,93070,92372,94481,
    ———————  ———————  ———————  ———————  經營帳目總額,90155,93070,92372,94481,
    ———————  ———————  ———————  ———————  開支總額,90155,93070,92372,94481,
－薪金,46358,47126,48703,51010
－津貼,2868,2843,2825,2645
－工作相關津貼,2,8,6,8
－強制性公積金供款,102,110,141,131
－公務員公積金供款,875,905,1063,1144
－就特別委任而支付的酬金,9616,12712,11313,9714
－一般部門開支,19681,18313,16578,16404
－行政會議非官守成員酬金,10653,11053,11743,13425
