管制人員：投訴警方獨立監察委員會秘書長會交代本總目下的開支。 二ＯＯ七至Ｏ八年度預算,1360,
年三月三十一日及二ＯＯ八年三月三十一日預算設有的21個非首長級職位。,820,
就查詢作出回應的標準時間 來電或親身查詢(%),100100,100,
書面查詢(%),10,
一般個案(%),3,
複雜個案(%),6,
上訴個案(%),6,
投訴警察課錄得的投訴個案數目,2719,2542,2500,
警監會從投訴警察課收到的投訴個案數目,2983,2437,2400,
綱領 處理投訴警方事宜,13.1,12.7,15.6,13.6
    經常開支 000運作開支,13056,12700,15622,13557,
    ——————— ——————— ——————— ——————— 經常開支總額,13056,12700,15622,13557,
    ——————— ——————— ——————— ——————— 經營帳總額,13056,12700,15622,13557,
    ——————— ——————— ——————— ——————— 開支總額,13056,12700,15622,13557,
－薪金,11594,10530,10162,9980
－津貼,148,158,243,172
－一般部門開支,1314,2012,5217,3405
