管制人員：獨立監察警方處理投訴委員會秘書長會交代本總目下的開支。 二Ｏ一二至一三年度預算,3790,
監察投訴個案的標準回應時間 查詢(%),100,100,100,100
在10天內回應書面查詢(%),100,100,100,100
投訴警察課錄得的須匯報投訴個案數目,2989,3000,3000,
監警會從投訴警察課收到的須匯報投訴個案數目,3576,3000,3500,
經監警會通過後發還投訴警察課的須匯報投訴個案數目,3968,3500,4000,
綱領 處理投訴警方事宜,28.5,35.2,36.1,37.9
    經常開支 000運作開支,28484,34230,35107,37414
    ——————— ——————— ——————— ——————— 經常開支總額,28484,34230,35107,37414
    ——————— ——————— ——————— ——————— 經營帳目總額,28484,34230,35107,37414
－小型機器、車輛及設備 (整體撥款),1000,1000505
    ——————— ——————— ——————— ——————— 資助金總額,1000,1000505
    ——————— ——————— ——————— ——————— 非經營帳目總額,1000,1000505
    ——————— ——————— ——————— ——————— 開支總額,28484,35230,36107,37919
