"總目","綱領編號","綱領","機構","2013-14
(實際)
(百萬元)","2014-15
(原來預算)
(百萬元)","2014-15
(修訂)
(百萬元)","2015-16
(預算)
(百萬元)"
"21",1,"行政長官辦公室","",74.0,78.3,80.3,80.2
"21",2,"行政會議","",20.5,20.8,21.0,21.3
"22",1,"漁農事宜及新鮮副食品批發市場","",313.0,519.0,304.2,320.8
"22",2,"自然護理及郊野公園","",546.7,583.0,591.7,608.9
"22",3,"動植物及漁業監管及技術服務","",290.2,293.8,298.4,303.8
"23",1,"醫療輔助服務","",74.3,80.6,80.6,87.3
"24",1,"審核帳目是否妥善的工作","",44.8,46.9,47.0,49.3
"24",2,"衡工量值式審計工作","",93.5,97.5,102.2,103.3
"25",1,"監察及諮詢服務","",241.5,248.4,258.8,263.2
"25",2,"設施保養","",915.9,938.6,948.0,978.5
"25",3,"設施發展","",603.1,619.7,636.3,650.6
"26",1,"貿易統計","",150.7,161.4,158.5,169.1
"26",2,"社會統計","",78.5,109.2,99.9,143.5
"26",3,"國民經濟核算及國際收支平衡統計","",78.3,80.3,78.8,84.8
"26",4,"綜合統計服務","",30.8,32.3,30.2,32.5
"26",5,"物價／工業／服務業統計","",139.5,150.2,144.1,159.3
"26",6,"勞工統計","",79.2,81.7,79.8,86.1
"27",1,"民眾安全服務","",96.2,95.7,97.0,99.5
"28",1,"飛行標準","",97.8,102.5,103.1,106.4
"28",2,"機場安全標準","",43.5,45.1,46.7,52.4
"28",3,"航空交通管理","",367.5,382.0,387.6,402.0
"28",4,"航空交通工程服務","",313.5,286.2,298.8,300.0
"28",5,"航班事務及安全管理","",31.0,44.5,43.3,40.7
"28",6,"飛機乘客離境稅的管理","",2.3,1.8,1.8,1.9
"30",1,"監獄管理","",2355.2,2460.1,2515.5,2556.6
"30",2,"重新融入社會","",923.6,906.8,935.9,963.1
"31",1,"管制及執法","",2162.6,2227.9,2300.0,2442.2
"31",2,"緝毒調查","",186.8,183.6,190.7,195.1
"31",3,"保護知識產權及消費者權益","",290.5,314.9,321.0,324.5
"31",4,"保障稅收及徵收稅款","",169.6,169.5,176.0,178.2
"31",5,"貿易管制","",151.4,160.7,176.0,176.9
"33",1,"旅遊及康樂發展","",42.7,43.2,44.9,45.4
"33",2,"港口及海事設施","",201.8,204.4,208.5,218.2
"33",3,"提供土地及基礎設施","",358.9,425.1,436.5,463.0
"33",4,"斜坡安全及岩土工程標準","",325.0,334.9,344.4,348.2
"33",5,"綠化及工程技術服務","",120.0,124.4,129.1,126.7
"33",6,"監管採礦、採石及爆炸品","",70.8,71.0,73.6,76.3
"33",7,"管理拆建物料","",694.9,885.1,886.8,946.0
"33",8,"就發展建議提供意見","",31.8,32.3,33.6,34.1
"37",1,"法定職責","",628.6,654.5,670.4,719.3
"37",2,"預防疾病","受資助機構",48.6,73.3,71.0,99.1
"37",2,"預防疾病","政府機構",2581.8,2834.4,2696.0,2911.5
"37",3,"促進健康","受資助機構",86.9,89.5,97.5,95.5
"37",3,"促進健康","政府機構",250.2,272.6,279.5,295.9
"37",4,"醫療護理","受資助機構",3.1,3.2,3.2,3.3
"37",4,"醫療護理","政府機構",806.5,817.3,837.6,839.6
"37",5,"康復服務","",98.2,102.1,102.9,110.2
"37",6,"治療吸毒者","受資助機構",105.4,106.8,110.4,113.6
"37",6,"治療吸毒者","政府機構",52.6,42.6,42.0,41.4
"37",7,"公務員醫療及牙科服務","",936.0,1088.7,1087.7,1232.4
"37",8,"任職醫院管理局公務員的人事管理","",8.2,8.2,8.3,8.7
"39",1,"雨水排放","",472.8,472.5,487.1,495.1
"39",2,"污水處理服務","",1528.2,1709.6,1661.6,1921.6
"42",1,"能源供應；電氣、氣體及核電安全","",130.9,124.7,135.3,130.8
"42",2,"機械裝置安全","",159.1,159.7,158.3,103.5
"42",3,"能源效益、節約能源及新能源","",142.3,155.3,140.9,150.3
"42",4,"中央式服務及特別支援","",70.6,73.2,75.6,77.8
"44",1,"廢物","",1778.0,2304.0,2049.3,2561.6
"44",2,"空氣","",710.3,4056.9,3640.5,3928.7
"44",3,"噪音","",108.5,112.1,114.7,117.5
"44",4,"水","",270.0,273.8,279.6,284.1
"44",5,"環境評估及規劃","",87.9,92.9,96.0,97.2
"44",6,"自然保育","",6.6,8.7,8.9,7.0
"45",1,"消防服務","",2901.0,3181.9,3119.5,3396.5
"45",2,"防火工作","",369.8,386.2,399.2,401.5
"45",3,"救護服務","",1406.0,1439.1,1476.8,1582.4
"46",1,"公務員一般開支","",2809.9,3170.4,3050.4,3351.7
"47",1,"政府內部資訊科技的使用","",534.2,544.0,554.1,555.0
"47",2,"資訊科技基建及標準","",51.5,52.5,53.2,66.5
"47",3,"社會對資訊科技的使用","",85.1,93.7,92.3,93.2
"48",1,"法定化驗","",186.9,206.3,204.0,208.5
"48",2,"諮詢及檢測事務","",72.4,79.9,82.3,85.9
"48",3,"法證事務","",150.2,149.6,147.3,151.4
"49",1,"食物安全及公共衞生","",915.6,972.2,995.7,1010.9
"49",2,"環境衞生及有關服務","",2829.6,2997.5,3084.9,3191.5
"49",3,"街市及小販管理","",1560.9,1671.2,1688.3,1693.4
"49",4,"公眾教育及市民參與","",23.3,26.3,26.1,28.2
"51",1,"獲取及分配產業","",747.9,803.1,800.0,791.6
"51",2,"物業管理","",1068.9,1022.9,1023.5,1058.8
"51",3,"產業的使用","",49.5,47.2,49.1,51.0
"53",1,"局長辦公室","",11.0,11.0,11.2,11.2
"53",2,"社會和諧及公民教育","",246.0,366.4,362.2,449.4
"53",3,"地區、社區及公眾關係","",15032.9,38.3,43.0,36.1
"53",4,"康樂、體育及娛樂事務發牌","",121.6,105.8,124.8,134.9
"53",5,"文化","",160.4,141.1,138.6,154.6
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","主要演藝團體",302.8,334.6,334.6,334.6
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","香港演藝學院",289.4,297.6,304.8,302.1
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","香港藝術發展局",101.8,128.5,129.4,124.1
"53",7,"資助金：當值律師服務及法律援助服務局","法律援助服務局",4.9,5.4,5.6,6.0
"53",7,"資助金：當值律師服務及法律援助服務局","當值律師服務",117.4,117.6,119.9,119.9
"55",1,"廣播及創意產業","",281.0,298.0,290.6,322.6
"55",2,"電訊","",15.8,16.9,13.9,17.8
"59",1,"採購","",57.6,57.8,50.4,49.7
